bar,beat,onset
-1,1,6.390453514739229
0,1,7.26
1,1,8.158299319727892
2,1,9.06267573696145
3,1,9.971360544217687
4,1,10.871428571428572
5,1,11.764603174603174
6,1,12.648344671201814
7,1,13.551428571428572
8,1,14.456054421768707
9,1,15.325487528344672
10,1,16.223492063492063
11,1,17.102834467120182
12,1,17.976507936507936
13,1,18.867346938775512
14,1,19.755102040816325
15,1,20.63902494331066
16,1,21.527278911564625
17,1,22.4168253968254
18,1,23.320498866213153
19,1,24.199909297052155
20,1,25.073832199546484
21,1,25.962086167800454
22,1,26.82170068027211
23,1,27.691201814058957
24,1,28.58922902494331
25,1,29.475555555555555
26,1,30.33809523809524
27,1,31.230839002267572
28,1,32.13578231292517
29,1,32.97521541950113
30,1,33.84875283446712
31,1,34.71825396825397
32,1,35.57734693877551
33,1,36.4662358276644
34,1,37.33981859410431
35,1,38.20950113378685
36,1,39.078208616780046
37,1,39.96736961451247
38,1,40.826802721088434
39,1,41.706167800453514
40,1,42.604467120181404
41,1,43.493197278911566
42,1,44.36244897959184
43,1,45.236507936507934
44,1,46.095986394557826
45,1,46.96528344671202
46,1,47.84462585034014
47,1,48.723015873015875
48,1,49.587097505668936
49,1,50.44621315192744
50,1,51.310090702947846
51,1,52.169818594104306
52,1,53.024036281179136
53,1,53.91854875283447
54,1,54.791768707482994
55,1,55.67045351473923
56,1,56.54
57,1,57.39426303854875
58,1,58.25315192743764
59,1,59.1324716553288
60,1,60.00172335600907
61,1,60.856031746031746
62,1,61.69990929705215
63,1,62.603968253968254
64,1,63.46818594104308
65,1,64.32707482993197
66,1,65.17160997732427
67,1,66.07027210884354
68,1,66.96530612244898
69,1,67.80834467120181
70,1,68.67224489795919
71,1,69.55124716553289
72,1,70.42086167800454
73,1,71.28496598639455
74,1,72.15380952380953
75,1,73.02297052154195
76,1,73.87743764172336
77,1,74.72725623582767
78,1,75.60816326530612
79,1,76.45963718820862
80,1,77.31387755102041
81,1,78.1734693877551
82,1,79.05249433106576
83,1,79.90675736961451
84,1,80.75002267573696
85,1,81.65526077097506
86,1,82.50909297052154
87,1,83.33303854875284
88,1,84.18739229024943
89,1,85.04673469387755
90,1,85.91573696145124
91,1,86.78975056689342
92,1,87.65854875283446
93,1,88.50315192743764
94,1,89.34741496598639
95,1,90.20725623582767
96,1,91.05074829931972
97,1,91.89519274376417
98,1,92.78163265306122
99,1,93.6343537414966
100,1,94.50421768707483
101,1,95.36684807256236
102,1,96.22666666666667
103,1,97.07755102040817
104,1,97.95102040816326
105,1,98.80310657596372
106,1,99.64761904761905
107,1,100.52680272108843
108,1,101.38038548752834
109,1,102.23045351473922
110,1,103.10002267573697
111,1,103.972947845805
112,1,104.82278911564626
113,1,105.68666666666667
114,1,106.56573696145125
115,1,107.41573696145124
116,1,108.26993197278911
117,1,109.11353741496599
118,1,109.96791383219954
119,1,110.8527664399093
120,1,111.70614512471656
121,1,112.55081632653061
122,1,113.40625850340136
123,1,114.26367346938775
124,1,115.16256235827665
125,1,116.01179138321996
126,1,116.8853514739229
127,1,117.73519274376417
128,1,118.58922902494331
129,1,119.43331065759637
130,1,120.33160997732426
131,1,121.17637188208617
132,1,122.01997732426304
133,1,122.87437641723356
134,1,123.74369614512472
135,1,124.59775510204082
136,1,125.43709750566893
137,1,126.30061224489796
138,1,127.17018140589569
139,1,128.0362811791383
140,1,128.8395238095238
141,1,129.6732879818594
142,1,130.5274149659864
143,1,131.38757369614513
144,1,132.21596371882086
145,1,133.0659410430839
146,1,133.9290022675737
147,1,134.76893424036282
148,1,135.62331065759636
149,1,136.46136054421768
150,1,137.31145124716554
151,1,138.15600907029477
152,1,138.9962358276644
153,1,139.8561224489796
154,1,140.684693877551
155,1,141.54761904761904
156,1,142.39757369614512
157,1,143.23877551020408
158,1,144.1109977324263
159,1,144.95539682539683
160,1,145.8053514739229
161,1,146.64303854875283
